"symbol","tax_id","gene_id"
"30",10665,1258680
"43",10665,1258685
"Aadac",10090,67758
"Aadac",10116,57300
"AADAC",9606,13
"Aadat",10116,29416
"AADAT",9606,51166
"AAK1",9606,22848
"Aanat",10116,25120
"AANAT",9940,443531
"AARS",9606,16
"AASDHPPT",9606,60496
"Abat",10116,81632
"ABAT",9606,18
"ABAT",9823,397500
"Abca1",10090,11303
"ABCA1",9606,19
"ABCB1",9606,5243
"Abcb11",10090,27413
"Abcb11",10116,83569
"ABCB11",9606,8647
"Abcb1a",10090,18671
"Abcb1a",10090,18671
"Abcb1b",10090,18669
"Abcb1b",10090,18669
"Abcb4",10116,24891
"ABCB4",9606,5244
"ABCB5",9606,340273
"ABCB6",9606,10058
"ABCB9",9606,23457
"Abcc1",10090,17250
"Abcc1",10116,24565
"ABCC1",9606,4363
"ABCC10",9606,89845
"ABCC11",9606,85320
"Abcc2",10090,12780
"Abcc2",10116,25303
"ABCC2",9606,1244
"Abcc3",10090,76408
"Abcc3",10116,140668
"ABCC3",9606,8714
"Abcc4",10116,170924
"ABCC4",9606,10257
"ABCC5",9606,10057
"Abcc6",10116,81642
"ABCC6",9606,368
"Abcc8",10116,25559
"Abcc8",10116,25559
"ABCC8",9606,6833
"ABCC8",9606,6833
"ABCC8",9606,6833
"Abcc9",10116,25560
"ABCC9",9606,10060
"ABCC9",9606,10060
"ABCC9",9606,10060
"Abcg2",10090,26357
"Abcg2",10116,312382
"ABCG2",9606,9429
"Abhd10",10090,213012
"Abhd11",10090,68758
"ABHD11",9606,83451
"Abhd12",10090,76192
"ABHD12",9606,26090
"Abhd13",10090,68904
"Abhd16a",10090,193742
"ABHD16A",9606,7920
"ABHD17B",9606,51104
"Abhd5",10090,67469
"Abhd6",10090,66082
"ABHD6",9606,57406
"Abl1",10090,11350
"ABL1",9606,25
"ABL1",9606,25
"ABL1",9606,25
"Abl2",10090,11352
"ABL2",9606,27
"ABL2",9606,27
"ABO",9606,28
"Acaca",10090,107476
"Acaca",10116,60581
"ACACA",9606,31
"Acacb",10090,100705
"Acacb",10116,116719
"ACACB",9606,32
"Acadl",10116,25287
"Acadm",10116,24158
"Acads",10116,64304
"Acadvl",10116,25363
"ACAT1",9606,38
"ACAT1",9606,38
"Acat2",10116,308100
"Acat2",10116,308100
"ACAT2",9606,39
"Ace",10090,11421
"Ace",10116,24310
"Ace",7227,41625
"ACE",9606,1636
"ACE",9606,1636
"ACE",9986,100009274
"ace-1",6239,181706
"Ace2",10116,302668
"ACE2",9606,59272
"ACE2",9606,59272
"ACER1",9606,125981
"ACER2",9606,340485
"Ache",10090,11423
"Ache",10116,83817
"Ache",10116,83817
"ACHE",9031,396388
"ACHE",9606,43
"ACHE",9606,43
"ACHE",9913,540446
"ACKR1",9606,2532
"ACKR3",9606,57007
"Acly",10090,104112
"Acly",10116,24159
"ACLY",9606,47
"Acot1",10090,26897
"ACOT1",9606,641371
"Acot2",10090,171210
"ACOT2",9606,10965
"Acox1",10116,50681
"Acp1",10090,11431
"ACP1",9606,52
"ACP1",9913,280977
"Acp5",10090,11433
"ACPP",9606,55
"acpS",224308,938194
"ACR",9606,49
"ACR",9823,397098
"ACS5",3702,836709
"Acss2",10090,60525
"ACTB",9606,60
"ACTR2",9606,10097
"Acvr1",10090,11477
"ACVR1",9606,90
"ACVR1B",9606,91
"ACVR1C",9606,130399
"ACVR2A",9606,92
"ACVR2B",9606,93
"ACVRL1",9606,94
"Ada",10090,11486
"ADA",9606,100
"ADA",9913,280712
"ADAL",9606,161823
"ADAM10",9606,102
"ADAM12",9606,8038
"ADAM15",9606,8751
"Adam17",10090,11491
"Adam17",10116,57027
"ADAM17",9606,6868
"ADAM17",9823,397343
"ADAM33",9606,80332
"ADAM8",9606,101
"ADAM9",9606,8754
"ADAMTS1",9606,9510
"ADAMTS13",9606,11093
"ADAMTS4",9606,9507
"ADAMTS4",9913,286806
"ADAMTS5",9606,11096
"ADAMTS5",9913,286805
"Adcy1",10116,305509
"ADCY1",9606,107
"ADCY1",9606,107
"ADCY1",9913,281601
"ADCY10",9606,55811
"Adcy2",10116,81636
"Adcy2",10116,81636
"ADCY2",9606,108
"ADCY2",9606,108
"Adcy3",10116,64508
"ADCY3",9606,109
"Adcy4",10116,54223
"ADCY4",9606,196883
"Adcy5",10116,64532
"Adcy5",10116,64532
"ADCY5",9606,111
"ADCY5",9606,111
"Adcy6",10116,25289
"ADCY6",9606,112
"ADCY7",9606,113
"Adcy8",10116,29241
"ADCY8",9606,114
"ADCY9",9606,115
"ADCY9",9606,115
"ADCYAP1",9606,116
"Adcyap1r1",10116,24167
"ADCYAP1R1",9606,117
"Adh1",10116,24172
"ADH1A",9606,124
"ADH1A",9606,124
"ADH1A",9606,124
"ADH1B",9606,125
"ADH1B",9606,125
"ADH1B",9606,125
"ADH1C",9606,126
"ADH1C",9606,126
"ADH1C",9606,126
"ADH4",9606,127
"ADH4",9606,127
"ADH5",9606,128
"ADH5",9606,128
"ADH6",9606,130
"ADH7",9606,131
"ADH7",9606,131
"ADHFE1",9606,137872
"ADIPOR1",9606,51094
"ADIPOR2",9606,79602
"Adk",10116,25368
"ADK",9606,132
"ADM",9606,133
"ADM2",9606,79924
"Adora1",10090,11539
"Adora1",10116,29290
"Adora1",10116,29290
"Adora1",10116,29290
"Adora1",10116,29290
"Adora1",10116,29290
"ADORA1",9031,374212
"ADORA1",9606,134
"ADORA1",9606,134
"ADORA1",9606,134
"ADORA1",9606,134
"ADORA1",9606,134
"ADORA1",9606,134
"ADORA1",9913,282133
"ADORA1",9986,100328615
"Adora2a",10090,11540
"Adora2a",10116,25369
"Adora2a",10116,25369
"Adora2a",10116,25369
"Adora2a",10116,25369
"Adora2a",10116,25369
"Adora2a",10116,25369
"ADORA2A",9606,135
"ADORA2A",9606,135
"ADORA2A",9606,135
"ADORA2A",9606,135
"ADORA2A",9606,135
"ADORA2A",9606,135
"ADORA2A",9913,617828
"Adora2b",10090,11541
"Adora2b",10116,29316
"Adora2b",10116,29316
"Adora2b",10116,29316
"Adora2b",10116,29316
"ADORA2B",9606,136
"ADORA2B",9606,136
"ADORA2B",9606,136
"ADORA2B",9606,136
"ADORA2B",9606,136
"ADORA2B",9606,136
"Adora3",10090,11542
"Adora3",10116,25370
"Adora3",10116,25370
"Adora3",10116,25370
"Adora3",10116,25370
"ADORA3",9606,140
"ADORA3",9606,140
"ADORA3",9606,140
"ADORA3",9606,140
"ADORA3",9606,140
"ADORA3",9615,403805
"ADORA3",9913,780806
"Adra1a",10090,11549
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"Adra1a",10116,29412
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9606,148
"ADRA1A",9823,100144471
"ADRA1A",9913,282134
"ADRA1A",9913,282134
"ADRA1A",9986,100009237
"Adra1b",10090,11548
"Adra1b",10090,11548
"Adra1b",10116,24173
"Adra1b",10116,24173
"Adra1b",10116,24173
"Adra1b",10116,24173
"Adra1b",10116,24173
"ADRA1B",9606,147
"ADRA1B",9606,147
"ADRA1B",9606,147
"ADRA1B",9606,147
"ADRA1B",9606,147
"Adra1d",10090,11550
"Adra1d",10116,29413
"Adra1d",10116,29413
"Adra1d",10116,29413
"Adra1d",10116,29413
"Adra1d",10116,29413
"ADRA1D",9606,146
"ADRA1D",9606,146
"ADRA1D",9606,146
"ADRA1D",9606,146
"ADRA1D",9606,146
"Adra2a",10090,11551
"Adra2a",10116,25083
"Adra2a",10116,25083
"Adra2a",10116,25083
"ADRA2A",9606,150
"ADRA2A",9606,150
"ADRA2A",9606,150
"ADRA2A",9606,150
"ADRA2A",9823,399501
"ADRA2A",9913,282135
"ADRA2A",9913,282135
"Adra2b",10090,11552
"Adra2b",10090,11552
"Adra2b",10116,24174
"Adra2b",10116,24174
"Adra2b",10116,24174
"ADRA2B",9606,151
"ADRA2B",9606,151
"ADRA2B",9606,151
"ADRA2B",9606,151
"Adra2c",10090,11553
"Adra2c",10116,24175
"Adra2c",10116,24175
"Adra2c",10116,24175
"ADRA2C",9606,152
"ADRA2C",9606,152
"ADRA2C",9606,152
"ADRA2C",9606,152
"Adrb1",10090,11554
"Adrb1",10116,24925
"Adrb1",10116,24925
"ADRB1",9606,153
"ADRB1",9606,153
"ADRB1",9606,153
"ADRB1",9606,153
"ADRB1",9606,153
"ADRB1",9823,397355
"Adrb2",10090,11555
"Adrb2",10090,11555
"Adrb2",10116,24176
"Adrb2",10116,24176
"Adrb2",10141,100722663
"ADRB2",9606,154
"ADRB2",9606,154
"ADRB2",9606,154
"ADRB2",9606,154
"ADRB2",9606,154
"ADRB2",9615,403910
"ADRB2",9823,397357
"ADRB2",9913,281605
"Adrb3",10090,11556
"Adrb3",10090,11556
"Adrb3",10116,25645
"Adrb3",10116,25645
"ADRB3",9544,699129
"ADRB3",9606,155
"ADRB3",9606,155
"ADRB3",9606,155
"ADRB3",9606,155
"ADRB3",9606,155
"ADRB3",9615,442979
"ADSS",9606,159
"AEBP2",9606,121536
"Afp",10116,24177
"Ager",10090,11596
"Ager",10116,81722
"AGER",9606,177
"AGK",9606,55750
"AGL",9606,178
"AGL",9986,100009066
"AGP1",559292,850333
"Agpat1",10090,55979
"AGPAT1",9606,10554
"AGPAT2",9606,10555
"AGT",9606,183
"AGTR1",9606,185
"AGTR1",9606,185
"AGTR1",9823,100519976
"AGTR1",9913,281607
"AGTR1",9986,100009164
"Agtr1a",10090,11607
"Agtr1b",10116,81638
"Agtr1b",10116,81638
"Agtr1b",10116,81638
"Agtr2",10116,24182
"Agtr2",10116,24182
"AGTR2",9606,186
"AGTR2",9606,186
"Ahcy",10090,269378
"Ahcy",10116,29443
"AHCY",9606,191
"Ahr",10090,11622
"Ahr",10116,25690
"AHR",9606,196
"AHR",9986,100008995
"AHSA1",9606,10598
"Aicda",10116,399679
"Aim1",10090,11630
"AIM1",9606,202
"AIM1",9606,202
"AIM1",9606,202
"Ak1",10116,24183
"AK1",9606,203
"AK1",9986,100354649
"Ak2",10116,24184
"AK2",9606,204
"Ak3",10116,26956
"AK4",9606,205
"Akp3",10090,11648
"Akp3",10116,64621
"Akr1a1",10116,78959
"AKR1A1",9606,10327
"AKR1A1",9823,396924
"Akr1b1",10116,24192
"AKR1B1",9606,231
"AKR1B1",9823,396816
"AKR1B1",9913,317748
"AKR1B1",9986,100009122
"AKR1B10",9606,57016
"Akr1b7",10116,116463
"AKR1C1",9606,1645
"AKR1C2",9606,1646
"Akr1c21",10090,77337
"AKR1C3",9606,8644
"AKR1C4",9606,1109
"Akr1d1",10116,192242
"Akr7a3",10116,26760
"Akt1",10090,11651
"Akt1",10116,24185
"AKT1",9606,207
"AKT1",9606,207
"AKT1",9606,207
"AKT1",9913,280991
"AKT1S1",9606,84335
"Akt2",10090,11652
"AKT2",9606,208
"AKT2",9606,208
"AKT3",9606,10000
"AKT3",9606,10000
"ALAD",9606,210
"Alb",10090,11657
"Alb",10116,24186
"ALB",9606,213
"ALB",9913,280717
"ALB",9986,100009195
"Aldh1a1",10116,24188
"ALDH1A1",9606,216
"ALDH1A1",9606,216
"ALDH1A2",9606,8854
"ALDH1A2",9606,8854
"ALDH1A3",9606,220
"ALDH1A3",9606,220
"Aldh1a7",10116,29651
"ALDH1B1",9606,219
"ALDH1B1",9606,219
"Aldh1l1",10116,64392
"Aldh2",10116,29539
"ALDH2",9606,217
"ALDH2",9606,217
"ALDH3A1",9606,218
"ALDH3A1",9606,218
"ALDH3B1",9606,221
"ALDH3B2",9606,222
"ALDH4A1",9606,8659
"ALDH4A1",9606,8659
"ALDH5A1",9606,7915
"ALDH5A1",9606,7915
"ALDH9A1",9606,223
"ALDOA",9606,226
"ALDOA",9986,100009055
"Alk",10090,11682
"ALK",9606,238
"ALK",9606,238
"ALKBH3",9606,221120
"ALKBH5",9606,54890
"Alox12",10090,11684
"ALOX12",9606,239
"Alox15",10090,11687
"Alox15",10090,11687
"Alox15",10116,81639
"ALOX15",9606,246
"ALOX15",9823,396971
"ALOX15",9986,100009114
"Alox15b",10116,266604
"ALOX15B",9606,247
"Alox5",10090,11689
"Alox5",10116,25290
"ALOX5",9606,240
"ALOX5",9606,240
"Alox5ap",10090,11690
"Alox5ap",10116,29624
"ALOX5AP",9606,241
"ALOX5AP",9606,241
"alpha-Man-Ia",7227,31957
"ALPI",9606,248
"ALPI",9913,280993
"Alpl",10090,11647
"Alpl",10116,25586
"ALPL",9606,249
"ALPL",9913,280994
"ALPP",9606,250
"Alppl2",10090,11650
"ALPPL2",9606,251
"als",7227,250684
"AMA1",36329,810891
"Amd1",10090,11702
"Amd1",10116,81640
"AMD1",9606,262
"AMDHD2",9606,51005
"AMOT",9606,154796
"ampC",208964,878149
"ampC",562,7872521
"ampC",562,7872529
"ampC",562,13905824
"ampC",562,7872695
"ampC",562,4397527
"ampC",562,13906534
"ampC",573,5850688
"ampC",573,6383913
"AMPD1",9606,270
"AMPD1",9986,100344490
"AMPD2",9606,271
"AMPD3",9606,272
"AMY1C",9606,278
"AMY2",9823,397397
"AMY2A",9606,279
"ANG",9606,283
"ANGPT1",9606,284
"ANKK1",9606,255239
"ANO1",9606,55107
"Anpep",10090,16790
"Anpep",10116,81641
"ANPEP",9606,290
"ANPEP",9823,397520
"ANPEP",9913,404191
"ANXA2",9606,302
"ANXA2",9606,302
"Aoc1",10116,65029
"AOC1",9606,26
"AOC1",9823,100517436
"AOC2",9606,314
"Aoc3",10090,11754
"Aoc3",10116,29473
"AOC3",9606,8639
"AOC3",9913,281002
"AOS",3702,834273
"Aox1",10090,11761
"Aox1",10116,54349
"AOX1",9541,102131116
"AOX1",9606,316
"AOX1",9986,100008601
"Ap2s1",10116,65046
"APAF1",9606,317
"APBA1",9606,320
"APCS",9606,325
"APE1",559292,853758
"Apeh",10090,235606
"APEH",9606,327
"APEH",9823,396961
"APEX1",9606,328
"aph",208964,880226
"APH1A",9606,51107
"APH1B",9606,83464
"Apln",10116,58812
"APLN",9606,8862
"APLNR",9606,187
"APOA1",9606,335
"APOB",9606,338
"APOBEC3A",9606,200315
"APOBEC3F",9606,200316
"APOBEC3G",9606,60489
"App",10116,54226
"APP",9606,351
"Aqp4",10090,11829
"AQP4",9606,361
"Ar",10090,11835
"Ar",10116,24208
"AR",9606,367
"ARAF",9606,369
"ARAF",9606,369
"AREG",9606,374
"Arf1",10090,11840
"ARF1",9606,375
"ARF5",9606,381
"Arf6",10090,11845
"ARF6",9606,382
"Arfgap1",10116,246310
"Arg1",10116,29221
"ARG1",9606,383
"ARG1",9913,513608
"ARG2",9606,384
"ARHGDIA",9606,396
"ARNT",9606,405
"aroK",85962,898985
"Arpp19",10116,60336
"ARRB1",9606,408
"ARSA",9606,410
"ARSB",9606,411
"ARSG",9606,22901
"ART1",9606,417
"Asah1",10116,84431
"ASAH1",9606,427
"Asah2",10090,54447
"ASAH2",9606,56624
"ASAP1",9606,50807
"ASF1A",9606,25842
"Asgr1",10090,11889
"ASGR1",9606,432
"ASH1L",9606,55870
"ASH2L",9606,9070
"Asic1",10090,11419
"Asic1",10116,79123
