"symbol","tax_id","tid","gene_name","gene_id"
"AADAC",9606,109673,"Arylacetamide deacetylase",13
"AADAT",9606,104560,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",51166
"AAK1",9606,30000,"Adaptor-associated kinase",22848
"AARS",9606,11302,"Alanyl-tRNA synthetase",16
"AASDHPPT",9606,108151,"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",60496
"ABAT",9606,153,"Gamma-amino-N-butyrate transaminase",18
"ABCB1",9606,11398,"P-glycoprotein 1",5243
"ABCB11",9606,102394,"Bile salt export pump",8647
"ABCB4",9606,104070,"Multidrug resistance protein 3",5244
"ABCB5",9606,104142,"ATP-binding cassette sub-family B member 5",340273
"ABCB6",9606,104488,"ATP-binding cassette sub-family B member 6, mitochondrial",10058
"ABCC1",9606,12030,"Multidrug resistance-associated protein 1",4363
"ABCC10",9606,104628,"Multidrug resistance-associated protein 7",89845
"ABCC11",9606,104643,"ATP-binding cassette sub-family C member 11",85320
"ABCC2",9606,101311,"Canalicular multispecific organic anion transporter 1",1244
"ABCC3",9606,102723,"Canalicular multispecific organic anion transporter 2",8714
"ABCC4",9606,104069,"Multidrug resistance-associated protein 4",10257
"ABCC5",9606,104559,"Multidrug resistance-associated protein 5",10057
"ABCC6",9606,104602,"Multidrug resistance-associated protein 6",368
"ABCC8",9606,104852,"Sulfonylurea receptor 1, Kir6.2",6833
"ABCC8",9606,164,"Sulfonylurea receptor 1",6833
"ABCC8",9606,104737,"Sulfonylurea receptors; K-ATP channels",6833
"ABCC9",9606,104737,"Sulfonylurea receptors; K-ATP channels",10060
"ABCC9",9606,104782,"Sulfonylurea receptor 2, Kir6.2",10060
"ABCC9",9606,2,"Sulfonylurea receptor 2",10060
"ABCG2",9606,100974,"ATP-binding cassette sub-family G member 2",9429
"ABHD11",9606,105464,"Alpha/beta hydrolase domain-containing protein 11",83451
"ABHD12",9606,101218,"Monoacylglycerol lipase ABHD12",26090
"ABHD16A",9606,101466,"Protein BAT5",7920
"ABHD6",9606,105457,"Monoacylglycerol lipase ABHD6",57406
"ABL1",9606,8,"Tyrosine-protein kinase ABL",25
"ABL1",9606,104922,"Tyrosine-protein kinase ABL",25
"ABL1",9606,104811,"Bcr/Abl fusion protein",25
"ABL2",9606,104922,"Tyrosine-protein kinase ABL",27
"ABL2",9606,11209,"Tyrosine-protein kinase ABL2",27
"ABO",9606,105628,"Histo-blood group ABO system transferase",28
"ACACA",9606,10330,"Acetyl-CoA carboxylase 1",31
"ACACB",9606,10608,"Acetyl-CoA carboxylase 2",32
"ACAT1",9606,12920,"Acyl coenzyme A:cholesterol acyltransferase 1",38
"ACAT2",9606,11204,"Acyl coenzyme A:cholesterol acyltransferase 2",39
"ACE",9606,104869,"Angiotensin-converting enzyme",1636
"ACE",9606,69,"Angiotensin-converting enzyme",1636
"ACE2",9606,11848,"Angiotensin-converting enzyme 2",59272
"ACE2",9606,104869,"Angiotensin-converting enzyme",59272
"ACHE",9606,93,"Acetylcholinesterase",43
"ACHE",9606,104805,"Cholinesterases; ACHE & BCHE",43
"ACKR3",9606,104499,"C-X-C chemokine receptor type 7",57007
"ACLY",9606,12028,"ATP-citrate synthase",47
"ACP1",9606,100627,"Low molecular weight phosphotyrosine protein phosphatase",52
"ACPP",9606,10824,"Prostatic acid phosphatase",55
"ACR",9606,12029,"Acrosin",49
"ACTB",9606,104588,"Actin, cytoplasmic 1",60
"ACTR2",9606,101441,"Actin-related protein 2",10097
"ACVR1",9606,101598,"Activin receptor type-1",90
"ACVR1B",9606,100908,"Activin receptor type-1B",91
"ACVR1C",9606,102475,"Activin receptor type-1C",130399
