"molregno","gene_id","tool_score","strength","selectivity","investigation_bias","wilcox_pval","IC50_diff","ontarget_IC50_Q1","offtarget_IC50_Q1","ontarget_IC50_N","offtarget_IC50_N","N_total"
250,1432,7.08245636584212,8,0.885307045730265,0.0578661844484629,1e-15,2.14136196491777,28.75,3981.07,64,1042,1106
250,8767,5.52180919665499,8,0.690226149581874,0.0054249547920434,1.20805867444407e-05,2.24472781623963,18,3162.28,6,1100,1106
250,2580,5.41810076945108,8,0.677262596181385,0.00452079566003617,3.64422211140537e-05,2.22124672039011,19,3162.28,5,1101,1106
250,5600,6.20885498127053,8,0.776106872658816,0.0144665461121157,1.37415001230162e-11,1.85596832148268,46.5,3337.5,16,1090,1106
250,1453,5.14013759118972,8,0.642517198898715,0.00452079566003617,4.76329085415834e-05,1.93179859727594,37,3162.28,5,1101,1106
250,5603,5.42729423124239,8,0.678411778905298,0.0108499095840868,4.92579643659631e-07,1.87675103094503,42,3162.28,12,1094,1106
250,6300,5.79448225068024,8,0.72431028133503,0.0126582278481013,3.49187769666219e-09,1.86537902037871,43.5,3190.57,14,1092,1106
250,5602,5.36583137808399,8,0.670728922260499,0.00632911392405063,3.17631213918627e-06,1.95593227699266,35,3162.28,7,1099,1106
14785,2064,5.57241656065192,8,0.696552070081491,0.0262443438914027,1.02718405930296e-11,1.1500313166144,134.5,1900,29,1076,1105
14785,1956,8.18638061621416,8,1.02329757702677,0.0723981900452489,1e-15,3.42687276337668,0.94,2511.89,80,1025,1105
14785,25,6.09900500558868,8,0.762375625698585,0.0289592760180995,1.29140158346061e-14,1.17047072225821,134.75,1995.26,32,1073,1105
14785,2580,5.77910278486908,8,0.722387848108635,0.00452488687782805,9.28668444454378e-05,2.70863743136252,3.1,1584.89,5,1100,1105
14785,2065,6.61542789789004,8,0.826928487236255,0.00452488687782805,0.00021613949060193,3.72287787047713,0.3,1584.89,5,1100,1105
14805,2064,8.08196923806361,8,1.01024615475795,0.0208955223880597,1e-15,3.15490195998574,7,10000,21,984,1005
14805,1956,8.37466549784506,8,1.04683318723063,0.0437810945273632,1e-15,3.55284196865778,2.8,10000,44,961,1005
14805,2066,5.77326924135975,8,0.721658655169969,0.00398009950248756,2.92119702373569e-05,2.59998036493484,25.12,10000,4,1001,1005
27072,6532,5.57483325498314,8,0.696854156872893,0.117647058823529,0.0135230697575648,3.25084364598862,5.6125,10000,2,15,17
373381,6793,5.01404595342654,8,0.626755744178318,0.00190234622701332,0.00142079768243456,2.07701518429112,0.0335,4,3,1574,1577
373381,9748,5.17926392579988,8,0.647407990724985,0.00190234622701332,0.00136864802957228,2.25963731050576,0.022,4,3,1574,1577
436277,2322,5.82955806791487,8,0.728694758489358,0.0181297709923664,4.5054173143924e-10,1.74338914412443,6.5,360,19,1029,1048
436277,6790,7.76968308779444,8,0.971210385974305,0.0276717557251908,1e-15,2.82390874094432,0.6,400,29,1019,1048
436277,202,6.2556391235747,8,0.781954890446838,0.0248091603053435,3.04633443727607e-13,1.60877701093525,9.8,398.11,26,1022,1048
436277,9212,6.2556391235747,8,0.781954890446838,0.0248091603053435,3.04633443727607e-13,1.60877701093525,9.8,398.11,26,1022,1048
436277,6795,5.92560360391284,8,0.740700450489105,0.0133587786259542,7.76433914126703e-10,1.88440128964584,4.6,352.5,14,1034,1048
436277,25,6.1984312782764,8,0.77480390978455,0.0248091603053435,2.089760443966e-12,1.71168196985216,7.575,390,26,1022,1048
1993082,5340,5.65519498293991,8,0.706899372867489,0.0833333333333333,0.012053194931552,3.22831479186559,0.6,1015,2,22,24
1836989,2915,5.21888872749036,8,0.652361090936295,0.111111111111111,3.34088220630894e-05,2.30935538444811,15.5,3160,2,16,18
514407,3702,5.45682410343976,8,0.68210301292997,0.0449438202247191,0.000417736846695261,2.59793913386883,4,1584.89,4,85,89
1142932,6868,5.60062822249315,8,0.700078527811644,0.125,0.0158476932451856,3.31569996154875,0.815,1686,2,14,16
71663,1017,5.46058920978916,8,0.682573651223645,0.00884955752212389,8.40872142394046e-06,2.15465752653801,44,6282.1775,8,896,904
71663,2932,5.24889714430659,8,0.656112143038323,0.00331858407079646,0.000211400649317376,2.17998630293921,37,5600,3,901,904
71663,1025,6.66532249003439,8,0.833165311254298,0.00884955752212389,5.34222058682891e-09,2.87058083717635,8.5,6309.57,8,896,904
71663,1019,5.20545245493455,8,0.650681556866819,0.00553097345132743,2.24334856786765e-05,1.94290628391521,69,6050,5,899,904
71663,1022,5.67749593080657,8,0.709686991350822,0.00553097345132743,2.71074828407707e-06,2.2903936808182,31,6050,5,899,904
