"cmpd1","cmpd2","chem_sim","jaccard_sim","n_pairs","n_pairs_prior","pearson_corr","n_common","sim_score","freq_score"
10096,10489,0.126865671641791,0.3,1,1,0.31,5,0.15,0.68551
10096,10489,0.126865671641791,0.3,1,1,0.7,3,0.35,0.50809
10151,10489,0.118518518518519,0.333,2,2,-0.45,7,-0.36,0.47643
10056,10489,0.114503816793893,0.3,2,2,0.15,14,0.08,0.77773
10056,10489,0.114503816793893,0.3,2,2,-1,3,-0.5,0.14536
10024,10489,0.111111111111111,1,2,2,0.06,7,0.03,0.91678
10037,10489,0.100671140939597,0.667,2,2,-0.52,6,-0.36,0.43441
10507,10489,0.03,0.3,1,2,0.07,88,0.05,0.95608
10507,10489,0.03,0.3,1,2,0.19,6,0.1,0.77134
10010,10489,0.1,0.3,2,2,0.45,7,0.35,0.47952
10232,10489,0.0916030534351145,0.3,1,1,0,3,0,1.00001
10232,10489,0.0916030534351145,0.3,1,1,0.28,9,0.14,0.63311
10011,10489,0.158333333333333,0.3,2,2,0.41,50,0.38,0.39097
10011,10489,0.158333333333333,0.3,2,2,0.48,60,0.44,0.25301
10011,10489,0.158333333333333,0.3,2,2,0.39,58,0.36,0.41994
10011,10489,0.158333333333333,0.3,2,2,0,3,0,1.00001
10114,10489,0.108527131782946,0.333,2,2,0.05,37,0.03,0.94387
10114,10489,0.108527131782946,0.333,2,2,0.42,9,0.22,0.46923
10013,10489,0.113475177304965,0.3,2,2,-0.45,6,-0.37,0.5022
10048,10489,0.104838709677419,0.3,2,2,0,3,0,1.00001
10048,10489,0.104838709677419,0.3,2,2,-0.01,45,-0.01,0.98781
10238,10489,0.0927835051546392,0.3,1,1,-0.37,65,-0.22,0.47374
10238,10489,0.0927835051546392,0.3,1,1,0,60,0,1.00001
10238,10489,0.0927835051546392,0.3,1,1,0.03,71,0.02,0.97909
10229,10489,0.122137404580153,0.3,1,1,0.36,5,0.27,0.62934
10061,10489,0.117647058823529,0.3,1,1,0.93,7,0.47,0.04544
10099,10489,0.131386861313869,0.333,2,2,0.13,6,0.07,0.83427
10459,10489,0.0560747663551402,0.3,1,1,0.31,5,0.18,0.68074
10459,10489,0.0560747663551402,0.3,1,1,-0.63,9,-0.4,0.24165
10459,10489,0.0560747663551402,0.3,1,1,-0.04,11,-0.03,0.92793
10441,10489,0.0900900900900901,1,2,3,-0.63,4,-0.33,0.42316
